"[203, 1690, 1280, 991, 2479, 1976, 876, 1904, 1495, 2114, 113, 1945, 1909, 118, 1490, 1936, 2168, 2486, 1190, 1597, 2322, 742, 1575, 1426, 2486, 869, 398, 1909, 2168, 2336, 75, 1429, 483, 2443, 1597, 2168, 203, 448, 1909, 2327, 876, 572, 355, 991, 988, 288, 1909, 631, 965, 1859, 2163, 1051, 231, 2508, 1939, 901, 2322, 1063, 500, 1859, 75]","[1904, 1495, 1945, 448, 2114, 118, 2148, 640, 425, 2403, 2164]"
"[153, 2419, 280, 1051, 983, 1019, 936, 150, 153, 1135, 1051, 869, 1019, 280, 876, 763, 1909, 1929, 1940, 1250, 2486, 1135, 41, 721, 1956, 826, 264, 1480, 43]","[280, 1135, 1950, 1929, 1019, 1977, 763, 1466, 1929]"
"[203, 1690, 1759, 2509, 1552, 1426, 2605, 1289, 1909, 221, 1051, 282, 264, 1671, 43, 1490, 2322, 598, 2347, 1909, 804, 1972, 665, 2168, 572, 1840, 219, 1877, 1492, 476]","[2547, 1606, 1929, 804, 118, 722, 1535, 817, 484]"
"[398, 1909, 273, 1135, 1355, 2148, 640, 2144, 203, 548, 640, 1695, 814, 150, 1250, 1281, 1909, 1929, 1019, 1977, 763, 2486, 1135, 536, 1866, 653, 431, 148, 964, 1051, 2616, 1987, 1527, 1866, 2259, 743, 1355, 653, 1051, 869, 1019, 1135, 1909, 1281, 536, 1592, 425, 804, 1051, 869, 1909, 41, 1956, 1837, 264, 2624, 1738, 75, 1490, 2322, 2062, 1909, 1925]","[1135, 1135, 1281, 1929, 1019, 1977, 763, 425, 804]"
"[1552, 508, 2551, 2605, 1909, 2523, 203, 561, 2112, 997, 1378, 1114, 1841, 2576, 330, 1034, 1909, 946, 2486, 742, 538, 264, 500, 1738, 75, 1909, 2519, 965, 2144, 1840, 330, 40, 111, 2124, 203, 821]","[1352, 118, 1239, 1609, 2323, 118, 128, 1495, 330, 1034]"
"[1014, 2258, 1959, 811, 270, 620, 1690, 1301, 206, 581, 620, 1690, 2324, 2508, 848, 927, 1608, 2258, 1051, 2474, 264, 1492, 1033, 75, 1608, 2258, 1288, 2053, 1210, 1867, 148, 1864, 1939, 581, 186, 179, 148, 1467, 2519, 203, 99, 1794, 2537, 683, 874, 1909, 130, 1761, 977, 1904, 1020, 280, 2322, 568, 1726, 891, 1062, 383, 1608, 807, 227, 1072, 2295, 568, 807, 2365, 2053, 859, 2571, 2576, 118, 203, 1690, 2382, 1310, 2486, 282, 1597, 2510, 333, 2532, 2322, 165, 221, 505, 212, 2532, 159, 2435, 2510, 1945, 221, 2486, 1190, 1597, 2532, 159, 2322, 712, 1909, 1925, 2168, 203, 2501, 1020, 280, 817, 484, 505, 1234, 1019, 804, 991, 2249, 1019, 1001, 1381, 1909, 505, 991, 1234, 1019, 1298, 221, 2322, 598, 1987, 1527, 398, 2168, 203, 1466, 1929, 2283, 958, 221, 2322, 598, 1987, 1527, 398, 1592, 620, 1125, 804, 1298, 1909, 1001, 1300]","[936, 2258, 334, 1683, 1020, 280, 118, 1945, 817, 484, 824, 804, 1298, 1001, 1381, 1466, 1929]"
"[1929, 1495, 1909, 118, 2510, 462, 1909, 139, 572, 148, 692, 118, 1495, 1909, 462, 2510, 1946, 1517, 620, 742, 1019, 333, 817, 1909, 1133, 876, 572, 2510, 2281, 1909, 448, 1250, 965, 2025, 997, 2112, 561, 1378, 1841, 1909, 2510, 2210]","[1495, 118, 462, 1517, 333, 817, 1133, 1517, 2281, 448]"
"[876, 1940, 1328, 1973, 1019, 1606, 91, 462, 991, 988, 1019, 665, 118, 1909, 484, 1909, 153, 203, 1690, 352, 936, 150, 12, 620, 1125, 1671, 988, 1019, 118, 41, 1956, 1837, 264, 505, 2253]","[608, 1606, 2248, 1065, 1606, 91, 462, 118, 484]"
"[343, 1086, 1254, 203, 333, 1904, 203, 980, 817, 1909, 484, 1552, 846, 1501, 42, 1300, 1909, 1420, 1086, 1289, 1909, 1562, 264, 1533, 1909, 1690, 1469, 43, 2350, 1909, 2168, 203, 1724, 1387, 2510, 1729, 1001, 645, 1909, 1562, 264, 2336, 75, 1038, 2486, 1127, 2225, 2403]","[1729, 42, 1300, 1724, 1387, 1001, 645, 2325]"
"[1818, 186, 2448, 965, 1690, 2454, 1726, 539, 383, 842, 876, 186, 2448, 1909, 842, 2510, 1416, 1945, 397, 2314, 199, 452, 1909, 2510, 148, 186, 2448, 1909, 842, 1593, 2114, 965, 552, 2144, 1909, 2510, 148, 742, 2168, 1426, 2605, 1940, 1909, 876, 572, 1250, 965, 1690, 1239, 1609, 584, 917, 869, 383, 584, 148, 1289, 869, 1019, 2449, 14, 22, 1997, 991, 1314]","[842, 1416, 1945, 2314, 2549, 1239, 1609, 591]"
"[1726, 626, 2326, 2046, 2519, 626, 203, 99, 2510, 366, 173, 1909, 179, 42, 148, 2046, 148, 1866, 505, 505, 991, 2544, 2180, 2308, 203, 2574, 42, 2510, 785, 1501, 1909, 713, 1852, 14, 2322, 1073, 1397, 2320, 203, 1765, 1909, 1608, 626, 158, 965, 1492, 1234, 1181, 14, 2322, 1063, 1956, 2353, 1671, 43, 1490, 22, 1715, 1997, 500, 2336, 505, 1480, 2544]","[211, 1998, 808, 626, 366, 173, 1842, 2308, 2574, 42, 713, 1852, 1765]"
"[876, 1495, 118, 1909, 1352, 118, 343, 965, 1021, 1909, 153, 1051, 2518, 2201, 227, 203, 2414, 264, 1956, 2353, 1859, 75, 2576, 330, 1034, 1909, 1031, 203, 1989, 2577, 355, 1690, 519, 46, 1021, 1480, 1671, 1019, 1171, 965, 330, 630, 1909, 1031, 742, 148, 1866, 581, 2240, 1777]","[128, 1495, 118, 1352, 118, 1031, 330, 1034]"
"[2346, 2368, 333, 1909, 1363, 2322, 568, 153, 569, 1135, 2368, 203, 206, 2454, 2168, 203, 1775, 1387, 206, 1051, 2474, 2168, 1560, 264, 1671, 75]","[1135, 333, 1775, 1387]"
"[876, 2170, 1387, 1466, 1929, 1909, 1929, 804, 946, 1051, 2178, 1841, 1904, 807, 1726, 2443, 973, 1909, 2510, 2170, 1572, 946, 2486, 1929, 742, 2284, 620, 1107, 1061, 869, 620, 804, 1038, 620, 1034]","[2170, 1387, 1466, 1929, 1929, 804, 1020, 280, 2170, 1572, 425, 2162, 846, 1381, 1001, 484, 824, 804]"
